name	field	rank	overall	h_index	cites_per_paper	academic_rep	employer_rep
UNESP	engineering-technology	304	64.9	57.7	75.0	63.1	65.7
Ain Shams University	engineering-technology	305	64.8	59.0	76.8	58.9	69.5
University of South Australia	engineering-technology	305	64.8	68.5	91.4	58.7	57.9
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute)	engineering-technology	307	64.7	48.4	57.3	64.6	76.7
University at Buffalo SUNY	engineering-technology	307	64.7	68.5	85.8	63.0	54.4
University of Coimbra	engineering-technology	307	64.7	69.4	81.0	61.3	58.6
University of Groningen	engineering-technology	307	64.7	67.6	88.9	58.8	59.1
Brno University of Technology	engineering-technology	311	64.6	61.4	67.8	69.0	58.8
Ulsan National Institute of Science and Technology (UNIST)	engineering-technology	311	64.6	73.5	97.1	60.5	49.2
University of Vienna	engineering-technology	311	64.6	61.4	82.9	62.6	59.8
University of Central Florida	engineering-technology	311	64.6	71.9	81.8	60.0	58.5
University of Science and Technology Beijing	engineering-technology	311	64.6	79.0	80.8	62.2	52.5
Gwangju Institute of Science and Technology (GIST)	engineering-technology	316	64.5	62.5	86.8	66.9	51.1
Universidade Federal de Minas Gerais	engineering-technology	316	64.5	61.4	75.9	64.7	60.0
Dalian University of Technology	engineering-technology	318	64.4	82.0	83.0	71.4	37.0
École Centrale de Lyon	engineering-technology	318	64.4	48.4	54.0	67.7	73.2
Freie Universitaet Berlin	engineering-technology	318	64.4	60.2	83.3	60.2	62.8
Jordan University of Science & Technology	engineering-technology	321	64.3	53.4	66.7	63.8	69.3
National Central University	engineering-technology	321	64.3	63.6	78.3	63.6	58.7
Universidad de Sevilla	engineering-technology	321	64.3	70.3	81.5	62.8	54.7
Vilnius Gediminas Technical University	engineering-technology	321	64.3	54.9	65.9	68.6	62.5
Washington University in St. Louis	engineering-technology	321	64.3	71.1	89.1	60.0	54.3
IMT Atlantique	engineering-technology	326	64.2	48.4	61.0	63.4	74.6
University of Milan	engineering-technology	326	64.2	63.6	80.6	57.5	65.2
University of Cape Town	engineering-technology	326	64.2	53.4	74.2	62.1	67.5
Universitas Indonesia	engineering-technology	326	64.2	48.4	52.3	67.2	74.0
Iowa State University	engineering-technology	330	64.1	73.5	83.6	59.7	55.4
Leibniz University Hannover	engineering-technology	330	64.1	66.6	77.2	64.8	55.2
Université du Québec	engineering-technology	332	64.0	68.5	82.5	58.3	60.1
Universität Hamburg	engineering-technology	333	63.9	63.6	81.2	59.0	61.8
Université de Liège	engineering-technology	333	63.9	63.6	82.2	61.8	57.6
National Sun Yat-sen University	engineering-technology	335	63.8	63.6	79.4	60.9	59.8
Gadjah Mada University	engineering-technology	335	63.8	50.2	55.2	66.5	71.3
Université Laval	engineering-technology	337	63.7	63.6	81.1	60.8	58.9
Pusan National University	engineering-technology	337	63.7	64.6	79.9	62.0	57.3
Albert-Ludwigs-Universitaet Freiburg	engineering-technology	337	63.7	68.5	89.3	60.5	52.7
Leiden University	engineering-technology	340	63.6	59.0	83.2	57.1	64.6
Macquarie University	engineering-technology	340	63.6	70.3	85.0	53.2	63.3
Shanghai University	engineering-technology	340	63.6	78.4	80.3	57.8	55.5
Simon Fraser University	engineering-technology	340	63.6	67.6	83.0	58.6	58.4
University of Oslo	engineering-technology	340	63.6	71.9	83.7	60.8	53.1
Amirkabir University of Technology	engineering-technology	345	63.5	71.9	82.4	62.8	50.7
Beijing Normal University	engineering-technology	345	63.5	75.7	86.4	53.4	59.3
Bangladesh University of Engineering and Technology	engineering-technology	347	63.4	56.3	66.2	65.3	62.9
"University of Rome ""Tor Vergata"""	engineering-technology	347	63.4	60.2	78.8	61.0	60.6
Vrije Universiteit Amsterdam	engineering-technology	347	63.4	66.6	85.6	59.7	55.5
Vrije Universiteit Brussel (VUB)	engineering-technology	347	63.4	64.6	80.5	61.6	56.7
National and Kapodistrian University of Athens	engineering-technology	351	63.3	60.2	77.0	57.5	65.7
Brunel University London	engineering-technology	352	63.2	62.5	85.0	58.8	58.5
Swinburne University of Technology	engineering-technology	352	63.2	71.1	85.2	57.5	56.0
Université de Technologie de Compiègne (UTC)	engineering-technology	352	63.2	56.3	71.2	61.0	65.6
University of Delaware	engineering-technology	352	63.2	69.4	89.5	61.8	48.9
Tomsk State University	engineering-technology	356	63.1	42.4	60.5	63.7	74.0
University of Pretoria	engineering-technology	356	63.1	59.0	79.4	55.7	66.7
Universiti Malaysia Pahang	engineering-technology	358	63.0	69.4	80.2	59.9	55.4
University of York	engineering-technology	358	63.0	59.0	80.9	58.3	62.4
National University of Ireland Galway	engineering-technology	360	62.9	62.5	79.0	57.2	62.7
Université de Montpellier	engineering-technology	360	62.9	67.6	81.0	57.3	58.9
University of Jordan	engineering-technology	360	62.9	48.4	63.3	61.1	72.3
American University of Sharjah	engineering-technology	363	62.8	50.2	62.4	62.1	70.3
Technische Universität Braunschweig	engineering-technology	363	62.8	64.6	79.7	67.2	47.6
University of Granada	engineering-technology	363	62.8	66.6	84.9	61.4	51.7
Universidade Nova de Lisboa	engineering-technology	363	62.8	59.0	78.4	59.6	61.3
University of Geneva	engineering-technology	363	62.8	62.5	85.3	56.8	59.8
Tel Aviv University	engineering-technology	368	62.7	69.4	84.5	63.2	47.8
Universidade Federal de Santa Catarina	engineering-technology	368	62.7	63.6	74.9	64.7	53.6
University of Reading	engineering-technology	368	62.7	67.6	84.4	53.2	61.9
University of South Carolina	engineering-technology	368	62.7	69.4	85.8	55.8	57.1
University of St Andrews	engineering-technology	368	62.7	63.6	81.3	54.7	63.5
Chung-Ang University (CAU)	engineering-technology	373	62.6	67.6	82.5	54.9	60.4
Sejong University	engineering-technology	373	62.6	67.6	85.4	54.3	59.9
University of Tsukuba	engineering-technology	373	62.6	59.0	73.3	62.7	59.0
Hunan University	engineering-technology	376	62.5	82.0	89.9	56.2	47.6
University of Engineering & Technology (UET) Lahore	engineering-technology	376	62.5	51.9	60.7	65.5	64.8
Pontifícia Universidade Católica do Rio de Janeiro	engineering-technology	378	62.4	46.6	64.8	67.5	62.3
University of Rochester	engineering-technology	378	62.4	66.6	84.5	58.3	54.7
East China University of Science and Technology	engineering-technology	380	62.2	79.0	88.5	61.9	41.2
Florida International University	engineering-technology	380	62.2	71.1	84.0	53.4	58.6
Lahore University of Management Sciences (LUMS)	engineering-technology	382	62.1	54.9	52.0	63.8	68.6
Texas A&M University at Qatar	engineering-technology	382	62.1	69.4	84.2	54.8	57.1
Universitat Pompeu Fabra (Barcelona)	engineering-technology	382	62.1	59.0	80.3	55.3	63.5
Oregon State University	engineering-technology	385	62.0	75.7	84.1	57.6	50.1
Singapore Management University	engineering-technology	385	62.0	62.5	73.1	52.5	68.8
University of Oulu	engineering-technology	385	62.0	65.7	83.6	60.7	51.0
Anna University	engineering-technology	388	61.9	72.7	78.1	53.9	59.0
Beijing University of Technology	engineering-technology	389	61.8	67.6	75.1	59.1	56.0
Clemson University	engineering-technology	389	61.8	66.6	82.2	54.8	58.4
Colorado State University	engineering-technology	389	61.8	66.6	82.4	58.2	53.9
Quaid-i-Azam University	engineering-technology	389	61.8	60.2	85.2	57.4	56.8
Ryerson University	engineering-technology	389	61.8	76.4	86.2	49.7	58.3
University of Aberdeen	engineering-technology	389	61.8	69.4	82.4	55.2	56.4
University of Cincinnati	engineering-technology	389	61.8	67.6	87.9	54.9	55.1
University of Manitoba	engineering-technology	389	61.8	71.1	83.6	53.7	56.9
University of South Florida	engineering-technology	389	61.8	69.4	85.6	56.7	52.9
Singapore University of Technology and Design	engineering-technology	398	61.7	75.0	89.9	52.9	52.7
Universidad de Concepción	engineering-technology	398	61.7	51.9	64.9	60.9	65.9
Universidad de Santiago de Chile (USACH)	engineering-technology	398	61.7	42.4	57.3	62.5	72.6
Beijing Jiaotong University	engineering-technology	401-450		75.7		59.9	
Birla Institute of Technology and Science, Pilani	engineering-technology	401-450					
Carleton University	engineering-technology	401-450		68.5	82.8		
Charles University	engineering-technology	401-450					
ENS Paris-Saclay	engineering-technology	401-450				67.1	60.3
University of Göttingen	engineering-technology	401-450		65.7	88.9		
George Washington University	engineering-technology	401-450					60.2
Indiana University Bloomington	engineering-technology	401-450		66.6	86.1		
Inha University	engineering-technology	401-450		72.7	85.9		
Koç University	engineering-technology	401-450				62.3	66.8
Kyungpook National University	engineering-technology	401-450					
Lulea University	engineering-technology	401-450			82.5	62.4	
Nanjing University of Aeronautics and Astronautics	engineering-technology	401-450		85.7			
Nankai University	engineering-technology	401-450		79.6	95.2		
National Chung Hsing University	engineering-technology	401-450					
Northwestern Polytechnical University	engineering-technology	401-450		82.0		62.0	
Renmin (People's) University of China	engineering-technology	401-450					67.5
Rheinische Friedrich-Wilhelms-Universität Bonn	engineering-technology	401-450		65.7	84.2		
Riga Technical University	engineering-technology	401-450				63.3	63.8
Ruhr-Universität Bochum	engineering-technology	401-450		65.7	83.7		
Sabanci University	engineering-technology	401-450				62.3	64.3
Institut Teknologi Sepuluh Nopember (ITS Surabaya)	engineering-technology	401-450				66.3	65.3
Sogang University	engineering-technology	401-450					63.0
Stellenbosch University	engineering-technology	401-450					62.1
Swansea University	engineering-technology	401-450			84.2		
TU Dortmund University	engineering-technology	401-450				67.4	
Texas Tech University	engineering-technology	401-450		67.6	81.2		
The University of Georgia	engineering-technology	401-450			82.8		
Tokyo University of Science	engineering-technology	401-450					62.9
Universidad de Zaragoza	engineering-technology	401-450		68.5	85.4		
Universidade Federal do Rio Grande Do Sul	engineering-technology	401-450				66.3	
University of Genoa	engineering-technology	401-450				60.4	
Università degli Studi di Pavia	engineering-technology	401-450					
University of Turin	engineering-technology	401-450			81.3		
Université de Strasbourg	engineering-technology	401-450			86.2		
University of Aveiro	engineering-technology	401-450		69.4	81.0		
University of Delhi	engineering-technology	401-450					64.2
University of Electronic Science and Technology of China	engineering-technology	401-450		89.5	81.3	60.8	
University of Limerick	engineering-technology	401-450					61.5
University of Ljubljana	engineering-technology	401-450					
University of Miami	engineering-technology	401-450					61.7
University of Minho	engineering-technology	401-450				61.1	
University of Witwatersrand	engineering-technology	401-450					63.0
University of Utah	engineering-technology	401-450		71.1	85.7		
University of Victoria (UVic)	engineering-technology	401-450		71.9	84.8		
University POLITEHNICA of Bucharest	engineering-technology	401-450				61.6	62.3
Ural Federal University - UrFU	engineering-technology	401-450				60.9	77.1
Vanderbilt University	engineering-technology	401-450			87.2		
Vellore Institute of Technology (VIT)	engineering-technology	401-450		71.9			
Wroclaw University of Science and Technology (WRUST)	engineering-technology	401-450				68.0	
Ajou University	engineering-technology	451-500		71.1	81.4		
Asian Institute of Technology, Thailand	engineering-technology	451-500				70.8	
Beijing University of Chemical Technology	engineering-technology	451-500		81.4	92.6		
Ben-Gurion University of The Negev	engineering-technology	451-500		68.5			
Dalhousie University	engineering-technology	451-500		66.6	83.0		
Dartmouth College	engineering-technology	451-500					
Drexel University	engineering-technology	451-500		71.9	92.0		
Dublin City University	engineering-technology	451-500					63.0
École Centrale de Nantes	engineering-technology	451-500				64.5	77.0
École Normale Supérieure de Lyon	engineering-technology	451-500				62.9	59.8
Griffith University	engineering-technology	451-500		69.4	92.8		
The Hebrew University of Jerusalem	engineering-technology	451-500		65.7	87.0		
Hiroshima University	engineering-technology	451-500				62.1	
Iran University of Science and Technology	engineering-technology	451-500		70.3	82.1		
Jeonbuk National University	engineering-technology	451-500		70.3	85.2		
King Mongkut's University of Technology Thonburi	engineering-technology	451-500				64.2	
Kobe University	engineering-technology	451-500					
Lappeenranta-Lahti University of Technology LUT	engineering-technology	451-500				60.3	
Lehigh University	engineering-technology	451-500				59.8	
HSE University	engineering-technology	451-500					82.7
Northumbria University at Newcastle	engineering-technology	451-500		66.6	82.1		
Sant'Anna - Scuola Universitaria Superiore Pisa	engineering-technology	451-500					
Sichuan University	engineering-technology	451-500		82.6	85.6		
Stony Brook University, State University of New York	engineering-technology	451-500		65.7	87.1		
Technical University of Cluj-Napoca	engineering-technology	451-500				62.4	
Technische Universität Hamburg	engineering-technology	451-500				67.1	
Technological University Dublin	engineering-technology	451-500				60.2	
The American University in Cairo	engineering-technology	451-500				61.5	72.1
Tufts University	engineering-technology	451-500			80.8		
Universidad de Antioquia	engineering-technology	451-500				61.6	66.4
University of the Basque Country	engineering-technology	451-500			81.3		
Universidade Federal de São Carlos (UFSCar)	engineering-technology	451-500				61.4	
University of Florence	engineering-technology	451-500					
Universitat de Valencia	engineering-technology	451-500			84.2		
Goethe-University Frankfurt am Main	engineering-technology	451-500					
University of Bordeaux	engineering-technology	451-500				59.9	
Université de Lorraine	engineering-technology	451-500		69.4			
Université de Rennes 1	engineering-technology	451-500		66.6			
Universiti Teknologi MARA - UiTM	engineering-technology	451-500					60.6
The University of Alabama	engineering-technology	451-500		66.6			
University of Antwerp	engineering-technology	451-500		69.4	89.7		
University of Basel	engineering-technology	451-500		65.7			
University of California, Riverside	engineering-technology	451-500		76.4	94.8		
University of Gothenburg	engineering-technology	451-500					
University of New Mexico	engineering-technology	451-500		67.6	82.2		
University of Oklahoma	engineering-technology	451-500		70.3	82.9		
Victoria University of Wellington	engineering-technology	451-500					62.4
Yildiz Technical University	engineering-technology	451-500					
York University	engineering-technology	451-500					59.9
Zhengzhou University	engineering-technology	451-500		71.1	83.8		
Aston University	engineering-technology	501-520					
Central South University	engineering-technology	501-520		80.8	84.0	59.8	
City, University of London	engineering-technology	501-520					
Pontificia Universidad Javeriana	engineering-technology	501-520				63.1	72.9
South Ural State University (National Research University)	engineering-technology	501-520					62.1
Universidad Pontificia Comillas	engineering-technology	501-520					66.8
Université Claude Bernard Lyon 1	engineering-technology	501-520			80.9		
Université de Lille	engineering-technology	501-520				61.3	
Université de Sherbrooke	engineering-technology	501-520					
Université Paul Sabatier Toulouse III	engineering-technology	501-520				61.4	
University of Connecticut	engineering-technology	501-520		70.3	86.1		
University of Kent	engineering-technology	501-520		67.6			
University of Navarra	engineering-technology	501-520					72.6
University of Otago	engineering-technology	501-520					62.8
University of Southern Denmark (SDU)	engineering-technology	501-520			84.7		
University of Tartu	engineering-technology	501-520					
The University of Texas at Arlington	engineering-technology	501-520		67.6	82.9		
University of the Philippines	engineering-technology	501-520				60.4	67.4
University of Warsaw	engineering-technology	501-520					
Western Sydney University	engineering-technology	501-520					
University of Oxford	english-language-literature	1	97.6		78.0	100.0	98.3
University of Cambridge	english-language-literature	2	96.6		74.5	99.3	97.1
Harvard University	english-language-literature	3	96.2		82.6	97.4	100.0
University of California, Berkeley (UCB)	english-language-literature	4	93.7		91.7	95.0	85.3
Yale University	english-language-literature	5	92.2		79.0	94.0	90.6
Stanford University	english-language-literature	6	91.8		92.5	91.8	91.1
Princeton University	english-language-literature	7	90.3		84.4	91.7	85.0
The University of Edinburgh	english-language-literature	7	90.3		83.0	92.2	82.3
University of California, Los Angeles (UCLA)	english-language-literature	9	89.7		88.9	90.2	86.0
Columbia University	english-language-literature	10	89.2		84.2	90.8	81.5
University of Toronto	english-language-literature	11	88.2		79.0	90.2	81.2
University of Chicago	english-language-literature	12	87.8		86.8	89.0	78.7
UCL	english-language-literature	13	86.4		71.0	88.7	83.6
King's College London	english-language-literature	14	86.2		85.0	87.3	78.8
New York University (NYU)	english-language-literature	15	85.7		79.8	86.9	82.4
University of British Columbia	english-language-literature	16	84.5		77.7	85.9	79.7
Duke University	english-language-literature	17	84.4		100.0	84.2	70.6
The University of Sydney	english-language-literature	18	83.4		77.9	84.3	81.9
The University of Manchester	english-language-literature	19	83.2		80.5	83.8	80.6
The University of Melbourne	english-language-literature	20	83.1		68.6	84.7	84.6
Cornell University	english-language-literature	21	83.0		75.3	84.8	76.7
The University of Warwick	english-language-literature	22	82.6		81.5	83.1	80.1
University of Pennsylvania	english-language-literature	22	82.6		81.8	83.2	78.4
University of York	english-language-literature	22	82.6		93.4	82.4	73.6
Trinity College Dublin, The University of Dublin	english-language-literature	25	82.4		71.9	84.7	74.8
Massachusetts Institute of Technology (MIT)	english-language-literature	26	81.8		77.4	81.2	91.4
McGill University	english-language-literature	27	81.6		84.7	81.4	79.6
The University of Hong Kong	english-language-literature	28	81.5		75.6	82.6	79.0
National University of Singapore (NUS)	english-language-literature	29	80.9		67.2	82.0	85.9
University of Michigan-Ann Arbor	english-language-literature	29	80.9		82.5	81.4	75.3
University of Glasgow	english-language-literature	31	80.8		70.6	83.1	72.8
University of Leeds	english-language-literature	31	80.8		85.3	80.3	80.6
University of Texas at Austin	english-language-literature	33	79.9		76.4	82.3	63.8
Queen Mary University of London	english-language-literature	34	79.6		81.8	80.2	72.1
University of Birmingham	english-language-literature	35	79.4		76.8	80.4	74.1
Freie Universitaet Berlin	english-language-literature	36	79.3		62.2	82.2	73.6
The University of Tokyo	english-language-literature	37	79.1		47.3	82.0	87.6
The University of Auckland	english-language-literature	38	78.6		72.6	80.0	73.2
Brown University	english-language-literature	39	78.5		79.8	78.9	73.5
Humboldt-Universität zu Berlin	english-language-literature	40	78.2		66.2	80.5	71.7
University of Amsterdam	english-language-literature	41	78.1		87.4	78.1	69.0
University of Bristol	english-language-literature	42	78.0		81.6	77.2	80.9
The Australian National University	english-language-literature	43	77.5		79.9	77.4	75.6
Durham University	english-language-literature	44	77.3		73.9	77.5	79.0
Sorbonne University	english-language-literature	44	77.3		56.5	80.2	74.8
University of St Andrews	english-language-literature	44	77.3		73.5	78.1	75.1
Monash University	english-language-literature	47	77.0		88.7	75.5	77.3
The University of New South Wales (UNSW Sydney)	english-language-literature	48	76.9		91.6	74.7	79.4
Peking University	english-language-literature	49	76.6		64.0	76.5	90.1
The University of Queensland	english-language-literature	50	76.3		83.0	75.8	73.2
Lancaster University	english-language-literature	51	76.1		80.8	76.6	67.3
University College Dublin	english-language-literature	52	75.9		69.7	77.6	68.7
Northwestern University	english-language-literature	53	75.7		83.0	74.9	74.8
Ludwig-Maximilians-Universität München	english-language-literature	54	75.6		66.9	77.7	67.3
The University of Exeter	english-language-literature	55	75.4		81.2	74.8	74.3
University of Wisconsin-Madison	english-language-literature	56	75.1		79.2	76.1	62.8
University of Virginia	english-language-literature	57	74.7		76.2	76.1	61.9
Ruprecht-Karls-Universität Heidelberg	english-language-literature	58	74.6		79.7	75.4	63.4
Leiden University	english-language-literature	59	74.1		71.2	75.4	66.8
Albert-Ludwigs-Universitaet Freiburg	english-language-literature	60	74.0		93.0	73.3	61.0
University of Nottingham	english-language-literature	61	73.9		81.6	72.8	75.3
Universiti Malaya (UM)	english-language-literature	62	73.8		77.4	73.8	70.1
Cardiff University	english-language-literature	63	73.7		72.9	75.7	58.4
The Chinese University of Hong Kong (CUHK)	english-language-literature	63	73.7		46.1	76.9	76.0
University of Sussex	english-language-literature	65	73.6		87.8	74.0	55.7
University of California, Irvine	english-language-literature	66	73.5		89.4	73.4	58.0
University of North Carolina, Chapel Hill	english-language-literature	66	73.5		68.9	75.1	64.8
University of Illinois at Urbana-Champaign	english-language-literature	68	73.3		93.4	72.2	62.2
Nanyang Technological University, Singapore (NTU)	english-language-literature	69	73.2		72.9	72.3	80.9
KU Leuven	english-language-literature	70	73.1		80.5	73.6	61.5
Victoria University of Wellington	english-language-literature	70	73.1		58.2	75.5	68.9
Johns Hopkins University	english-language-literature	72	72.9		87.6	72.5	61.8
Boston University	english-language-literature	73	72.7		91.3	70.9	68.6
Georgetown University	english-language-literature	74	72.6		83.2	71.1	73.5
Seoul National University	english-language-literature	74	72.6		53.2	73.8	82.1
University of Helsinki	english-language-literature	76	72.5		71.5	73.9	62.7
The Ohio State University	english-language-literature	77	72.2		90.7	72.0	55.1
University of California, San Diego (UCSD)	english-language-literature	78	72.1		68.7	72.5	71.9
University of Copenhagen	english-language-literature	78	72.1		80.4	71.3	69.9
City University of New York	english-language-literature	80	71.9		78.7	71.6	67.4
Pennsylvania State University	english-language-literature	80	71.9		76.2	72.6	61.8
Goldsmiths, University of London	english-language-literature	82	71.8		80.4	72.2	59.8
SOAS University of London	english-language-literature	82	71.8		86.4	71.8	57.4
Utrecht University	english-language-literature	82	71.8		92.1	70.2	64.0
University of Southern California	english-language-literature	85	71.5		84.9	70.3	67.4
Yonsei University	english-language-literature	85	71.5		60.5	72.1	77.2
University of Zurich	english-language-literature	87	71.1		79.8	70.6	66.7
National Taiwan University (NTU)	english-language-literature	88	71.0		44.8	73.4	77.9
University of Vienna	english-language-literature	88	71.0		73.3	72.4	57.0
Université Sorbonne Nouvelle Paris 3	english-language-literature	90	70.9		50.6	73.4	71.1
University of Liverpool	english-language-literature	90	70.9		70.6	71.0	70.5
Aarhus University	english-language-literature	92	70.8		98.7	67.8	67.2
Birkbeck, University of London	english-language-literature	93	70.7		79.0	74.1	34.8
Queen's University Belfast	english-language-literature	94	70.6		80.1	71.2	56.4
University of Alberta	english-language-literature	94	70.6		74.1	71.2	62.3
Indiana University Bloomington	english-language-literature	96	70.5		76.4	72.6	47.9
Tsinghua University	english-language-literature	96	70.5		46.1	71.2	88.9
Université de Montréal	english-language-literature	98	70.3		70.3	70.4	69.7
University of Washington	english-language-literature	98	70.3		73.1	71.2	59.9
Michigan State University	english-language-literature	100	70.0		85.7	67.8	71.9
Al-Farabi Kazakh National University	english-language-literature	101-150					
Beijing Normal University	english-language-literature	101-150				70.6	
Boston College	english-language-literature	101-150			89.7		
City University of Hong Kong	english-language-literature	101-150					
Dartmouth College	english-language-literature	101-150					
Emory University	english-language-literature	101-150					
Fudan University	english-language-literature	101-150				71.0	88.8
Jawaharlal Nehru University	english-language-literature	101-150				71.2	
Korea University	english-language-literature	101-150				71.8	77.5
Lomonosov Moscow State University	english-language-literature	101-150					83.6
Macquarie University	english-language-literature	101-150					
Nanjing University	english-language-literature	101-150					
National University of Ireland Galway	english-language-literature	101-150					
Newcastle University	english-language-literature	101-150					
Queen's University at Kingston	english-language-literature	101-150					73.9
Royal Holloway University of London	english-language-literature	101-150					
Rutgers University–New Brunswick	english-language-literature	101-150			87.9		
Sapienza University of Rome	english-language-literature	101-150					75.7
Shanghai Jiao Tong University	english-language-literature	101-150					85.9
Stockholm University	english-language-literature	101-150					
The Hong Kong Polytechnic University	english-language-literature	101-150					
The University of Adelaide	english-language-literature	101-150					
The University of Sheffield	english-language-literature	101-150					
The University of Western Australia	english-language-literature	101-150					71.7
Complutense University of Madrid	english-language-literature	101-150					75.6
Universidad de Buenos Aires (UBA)	english-language-literature	101-150					81.4
Universidad Nacional Autónoma de México  (UNAM)	english-language-literature	101-150					83.7
Universitat de Barcelona	english-language-literature	101-150					
Université de Paris	english-language-literature	101-150					
Université PSL	english-language-literature	101-150					75.6
University College Cork	english-language-literature	101-150					
University of Calgary	english-language-literature	101-150					
University of California, Davis	english-language-literature	101-150			80.4		
University of California, Santa Barbara (UCSB)	english-language-literature	101-150					
University of California, Santa Cruz	english-language-literature	101-150			96.2		
University of Cape Town	english-language-literature	101-150					
University of Geneva	english-language-literature	101-150					
Ghent University	english-language-literature	101-150			79.0		
University of Groningen	english-language-literature	101-150			89.5		
University of Illinois at Chicago (UIC)	english-language-literature	101-150			81.9		
University of Kent	english-language-literature	101-150			81.1		
University of Maryland, College Park	english-language-literature	101-150			87.8		
University of Massachusetts Amherst	english-language-literature	101-150					
University of Notre Dame	english-language-literature	101-150			84.4		
University of Oslo	english-language-literature	101-150			82.3		
University of Otago	english-language-literature	101-150				71.9	
University of Reading	english-language-literature	101-150					
Uppsala University	english-language-literature	101-150			78.0		
Waseda University	english-language-literature	101-150				71.0	81.6
York University	english-language-literature	101-150					
Zhejiang University	english-language-literature	101-150					86.6
Arizona State University	english-language-literature	151-200			87.6		
Beijing Foreign Studies University	english-language-literature	151-200					
Charles University	english-language-literature	151-200					
Concordia University	english-language-literature	151-200			78.4		
Eberhard Karls Universität Tübingen	english-language-literature	151-200					
Ewha Womans University	english-language-literature	151-200					
George Washington University	english-language-literature	151-200			78.6		
HUFS - Hankuk (Korea) University of Foreign Studies	english-language-literature	151-200					75.9
Lund University	english-language-literature	151-200					
McMaster University	english-language-literature	151-200			78.8		
Pontificia Universidad Católica de Chile (UC)	english-language-literature	151-200					85.3
Purdue University	english-language-literature	151-200			80.9		
Renmin (People's) University of China	english-language-literature	151-200					79.1
Rice University	english-language-literature	151-200					
Simon Fraser University	english-language-literature	151-200					
Universidad Autónoma de Madrid	english-language-literature	151-200					75.4
Universidad de Chile	english-language-literature	151-200					78.7
Universidade de São Paulo	english-language-literature	151-200					78.5
University of Milan	english-language-literature	151-200					71.9
Universitat Autònoma de Barcelona	english-language-literature	151-200					
Universität Konstanz	english-language-literature	151-200					
Universiti Kebangsaan Malaysia (UKM)	english-language-literature	151-200			84.9		
Universiti Putra Malaysia (UPM)	english-language-literature	151-200			78.8		
Universiti Sains Malaysia (USM)	english-language-literature	151-200			81.8		
University at Buffalo SUNY	english-language-literature	151-200					
University of Antwerp	english-language-literature	151-200			86.2		
The University of Arizona	english-language-literature	151-200			80.9		
University of Bern	english-language-literature	151-200					
University of Connecticut	english-language-literature	151-200					
University of Delhi	english-language-literature	151-200					72.3
University of East Anglia (UEA)	english-language-literature	151-200					
University of Hawaiʻi at Mānoa	english-language-literature	151-200					73.9
University of Iowa	english-language-literature	151-200					
University of Leicester	english-language-literature	151-200					
University of Limerick	english-language-literature	151-200					
University of Minnesota Twin Cities	english-language-literature	151-200					
The University of Newcastle, Australia (UON)	english-language-literature	151-200					
University of Ottawa	english-language-literature	151-200					70.6
University of Pittsburgh	english-language-literature	151-200			79.6		
University of Southampton	english-language-literature	151-200					
University of the Philippines	english-language-literature	151-200					
University of Witwatersrand	english-language-literature	151-200			90.3		
University of Waikato	english-language-literature	151-200					
University of Warsaw	english-language-literature	151-200					
Vanderbilt University	english-language-literature	151-200			79.7		
Vrije Universiteit Amsterdam	english-language-literature	151-200					
Washington University in St. Louis	english-language-literature	151-200					
Western University	english-language-literature	151-200			87.4		
Westfälische Wilhelms-Universität Münster	english-language-literature	151-200					
Wuhan University	english-language-literature	151-200					80.0
American University of Beirut (AUB)	english-language-literature	201-250					
Amherst College	english-language-literature	201-250					
Ateneo de Manila University	english-language-literature	201-250					
California Institute of Technology (Caltech)	english-language-literature	201-250					74.2
De La Salle University	english-language-literature	201-250					
Dublin City University	english-language-literature	201-250					
Fordham University	english-language-literature	201-250					
University of Göttingen	english-language-literature	201-250					
Griffith University	english-language-literature	201-250					
Hanyang University	english-language-literature	201-250					76.1
Jagiellonian University	english-language-literature	201-250					
Johannes Gutenberg Universität Mainz	english-language-literature	201-250					
Karl-Franzens-Universitaet Graz	english-language-literature	201-250					
Abai Kazakh National Pedagogical University	english-language-literature	201-250					
Kazan (Volga region) Federal University	english-language-literature	201-250			87.4		
La Trobe University	english-language-literature	201-250					
National Sun Yat-sen University	english-language-literature	201-250					
National Taiwan Normal University	english-language-literature	201-250					
Northeastern University	english-language-literature	201-250					
Oxford Brookes University	english-language-literature	201-250					74.0
Rheinische Friedrich-Wilhelms-Universität Bonn	english-language-literature	201-250					
Sogang University	english-language-literature	201-250					
Stellenbosch University	english-language-literature	201-250			86.9		
Sun Yat-sen University	english-language-literature	201-250					73.8
Sungkyunkwan University(SKKU)	english-language-literature	201-250					75.9
Swansea University	english-language-literature	201-250					
Syracuse University	english-language-literature	201-250					
Texas A&M University	english-language-literature	201-250			78.4		
Tufts University	english-language-literature	201-250					
Universidad de Alcalá	english-language-literature	201-250					
University of Granada	english-language-literature	201-250					
University of Salamanca	english-language-literature	201-250					
Universidad Nacional de Colombia	english-language-literature	201-250					77.9
Universidade de Santiago de Compostela	english-language-literature	201-250					
Universidade Federal de Santa Catarina	english-language-literature	201-250					
University of Pisa	english-language-literature	201-250					
Université de Fribourg	english-language-literature	201-250					
Université de Strasbourg	english-language-literature	201-250					
Université Paris-Nanterre	english-language-literature	201-250					
University of Aberdeen	english-language-literature	201-250					
University of Bergen	english-language-literature	201-250					
